,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
12:09.3,0.620721737,0.828559781,1.09552795,0.009557728,0.201757674,0.339923412,0.519738637,-0.139763609,0.553827,0.30670083,0.626037805,0.403770364,0.117872966,-0.076298513,0.134230498,0.089696708,-0.171922492,-0.3689125,-0.623589133,-0.261516141,0
12:09.4,0.559537624,0.77365698,1.016716545,0.009905262,0.138185783,0.238080178,0.440387486,-0.090991531,0.553827,0.274368275,0.458163643,0.420790598,0.107023214,-0.073161223,0.104591814,0.10587245,-0.182951773,-0.365220385,-0.65775535,-0.27725475,0
12:09.5,0.529076217,0.75507696,0.978502933,0.003833993,0.10569092,0.188645113,0.410377643,-0.062559574,0.553827,0.26221152,0.397265263,0.430666573,0.096321403,-0.068653773,0.093330617,0.118556943,-0.190978693,-0.366797233,-0.669167933,-0.284522547,0
12:09.6,0.498544572,0.763400392,0.950509574,0.001261447,0.077244017,0.150661912,0.388340554,-0.036335753,0.550711318,0.24396727,0.359018362,0.448430044,0.075391009,-0.060535875,0.085794137,0.130687578,-0.200179505,-0.3715962,-0.667219188,-0.288065493,0
12:09.7,0.46995729,0.812357668,0.94401209,0.020292348,0.057362511,0.14074521,0.372961505,-0.023809059,0.51458501,0.208753578,0.32597128,0.471466499,0.04384433,-0.051670877,0.078869404,0.134083145,-0.207167787,-0.373700685,-0.648564694,-0.283320984,0
12:09.8,0.449967153,0.852811188,0.948379206,0.061623658,0.041103534,0.150303419,0.364049663,-0.022216378,0.480926705,0.195991876,0.311452973,0.4722758,0.018472484,-0.047404092,0.067999529,0.13087015,-0.212195395,-0.369980763,-0.630797089,-0.273190671,0
12:09.9,0.437448849,0.878494325,0.961185325,0.11706671,0.025694532,0.167125721,0.360025224,-0.02116306,0.465961422,0.198370155,0.30894441,0.4722758,-0.002319496,-0.043593681,0.053748244,0.12695354,-0.220100563,-0.36476568,-0.613535965,-0.259719868,0
12:10.0,0.429121112,0.890803912,0.978134434,0.174873021,0.016981565,0.183198065,0.355606939,-0.017321994,0.460601107,0.184351135,0.306911121,0.4722758,-0.016439378,-0.037977446,0.036437257,0.12512942,-0.233117272,-0.3627244,-0.597366658,-0.24807761,0
12:10.1,0.410234568,0.888425366,0.993252485,0.237081799,0.020035545,0.191915521,0.336769862,-0.010109466,0.423270809,0.156581141,0.330569173,0.4722758,-0.023793389,-0.028792959,0.012047309,0.127878126,-0.254855523,-0.368495893,-0.581136,-0.243997321,0
12:10.2,0.36287192,0.8685327,0.9976578,0.2999275,0.041383877,0.18438967,0.2891311,-0.001588839,0.3344951,0.10897402,0.42450413,0.4722758,-0.022949936,-0.018246049,-0.01964982,0.13749036,-0.28515443,-0.3847889,-0.5669766,-0.25247332,0
12:10.3,0.309584964,0.849297033,0.984044963,0.341860238,0.069056454,0.164846311,0.23723943,0.00277875,0.235904124,0.099105362,0.472304963,0.4722758,-0.019276919,-0.013286646,-0.0414965,0.147915455,-0.31038774,-0.398963168,-0.559648896,-0.261005793,0
12:10.4,0.268878399,0.836913238,0.964542163,0.374766147,0.095528656,0.14388357,0.198508991,0.00817949,0.212972124,0.096580013,0.47974449,0.4722758,-0.01864267,-0.008252323,-0.054712529,0.155665529,-0.33286018,-0.406331903,-0.5538101,-0.26101396,0
12:10.5,0.253158488,0.827513903,0.95201695,0.395063355,0.118367508,0.127271435,0.1806883,0.020621079,0.232614,0.104879662,0.48051038,0.4722758,-0.020318306,0.000434358,-0.060191375,0.159713555,-0.3511898,-0.407785173,-0.547539225,-0.25554641,0
12:10.6,0.258679098,0.817586172,0.948062916,0.405554384,0.143997874,0.115244594,0.176365454,0.045922041,0.324722497,0.134572269,0.480586589,0.465020625,-0.018185019,0.012478176,-0.059214384,0.162316022,-0.365682721,-0.407747869,-0.539692604,-0.250002651,0
12:10.7,0.283466688,0.810590195,0.94855298,0.416228515,0.171546263,0.108849262,0.180794678,0.075935378,0.41887665,0.159487305,0.483765787,0.46552455,-0.010273453,0.022574975,-0.054672586,0.164643425,-0.374531335,-0.407999588,-0.532394273,-0.247725485,0
12:10.8,0.39146037,0.801284513,0.954064452,0.467960959,0.25074789,0.103306931,0.209743215,0.157082054,0.586180135,0.184196808,0.515974753,0.511690209,0.025173799,0.038556127,-0.038184504,0.171907349,-0.384763604,-0.409248114,-0.517438354,-0.250542837,0
12:10.9,0.557932515,0.790151536,0.962333138,0.578173716,0.369567518,0.100892507,0.26931195,0.271600172,0.731034218,0.1881046,0.591075192,0.618786656,0.085516678,0.047171335,-0.013620248,0.184486422,-0.386540704,-0.408074412,-0.504981638,-0.259430308,0
12:11.0,0.698761438,0.772853581,0.967371875,0.695469119,0.48623045,0.097576461,0.336585014,0.386586694,0.809957215,0.1881046,0.643268225,0.708144975,0.143802546,0.046281829,0.009450605,0.198017275,-0.37840938,-0.404268601,-0.502078975,-0.267705149,0
12:11.1,0.82615907,0.746121256,0.969069809,0.78510284,0.60203325,0.09027331,0.407114617,0.473272615,0.850600458,0.1881046,0.669129621,0.7541896,0.197748757,0.039078225,0.033251184,0.207865133,-0.362111996,-0.399576845,-0.508291271,-0.274857568,0
12:11.2,0.979231235,0.697631011,0.968726652,0.811398976,0.740548088,0.071814383,0.492162966,0.496136326,0.933468242,0.1881046,0.702476514,0.749360259,0.258786497,0.025698847,0.069584428,0.211478379,-0.331750872,-0.395510637,-0.524819308,-0.285176964,0
12:11.3,1.116300075,0.65034685,0.97276415,0.834664804,0.854425927,0.04036137,0.560496148,0.522611361,1.000310574,0.1881046,0.745330238,0.742872847,0.310756075,0.013789091,0.109744627,0.222234767,-0.297442538,-0.393922623,-0.537429738,-0.296916476,0
12:11.4,1.210046021,0.627544321,0.977877602,0.852219821,0.921510547,0.002884276,0.597965514,0.545104125,1.013951517,0.180562829,0.7613642,0.7422189,0.344290713,0.005788871,0.138321157,0.234604846,-0.272594708,-0.393408289,-0.539094398,-0.310248158,0
12:11.5,1.267207869,0.6148163,0.977128093,0.872279758,0.963409913,-0.045501396,0.619676083,0.570681755,1.0161,0.186921909,0.76633949,0.7422189,0.368719379,-0.002369017,0.160588466,0.250326928,-0.25860863,-0.392892137,-0.533793367,-0.330480559,0
12:11.6,1.296526558,0.609119587,0.956289877,0.897275235,0.990669977,-0.089728189,0.624848374,0.602600881,1.0161,0.241726748,0.7677096,0.7422189,0.387299385,-0.010463154,0.17195566,0.268379951,-0.249895538,-0.392581455,-0.525031552,-0.354064568,0
12:11.7,1.328682654,0.608995296,0.911206753,0.926251304,1.017910104,-0.104413112,0.621651731,0.643217915,1.0161,0.31656557,0.7677096,0.7422189,0.404645336,-0.015998802,0.171198774,0.284830917,-0.234052865,-0.39539819,-0.519373115,-0.367249117,0
12:11.8,1.364483347,0.606383564,0.87165173,0.961683275,1.0481956,-0.09090425,0.620651814,0.697306298,1.0161,0.360634817,0.766729811,0.739131267,0.423889122,-0.016919928,0.163923812,0.299760258,-0.211941486,-0.40630753,-0.520321836,-0.372602737,0
12:11.9,1.406142442,0.615351225,0.855885983,1.009388825,1.085629433,-0.063284892,0.623520097,0.766381914,1.0161,0.373006068,0.7663016,0.728874855,0.449510343,-0.011866432,0.15564999,0.318023714,-0.186382678,-0.426006736,-0.528286481,-0.384339793,0
12:12.0,1.4455355,0.6637668,0.8637447,1.0664823,1.123065,-0.001903457,0.62732077,0.83233243,1.0161,0.38880634,0.7663016,0.72751683,0.47763804,0.008943293,0.15164798,0.34128532,-0.16556302,-0.44404992,-0.5408912,-0.40243188,0
12:12.1,1.473163697,0.722684221,0.875551692,1.114848166,1.148696534,0.075761511,0.62905911,0.875183884,1.0161,0.440720373,0.7663016,0.72751683,0.496879316,0.037650289,0.150516025,0.360314639,-0.152654378,-0.450599048,-0.550607444,-0.408248504,0
12:12.2,1.52734165,0.84404126,0.899010837,1.1479406,1.198563475,0.245378138,0.6277546,0.9045033,1.0161,0.56079943,0.7663016,0.72751683,0.531169695,0.104217867,0.148030255,0.3733347,-0.126301697,-0.456907623,-0.57065325,-0.4122283,0
12:12.3,1.571744729,0.937874946,0.915171988,1.1479406,1.240201779,0.384909357,0.614721136,0.9045033,1.0161,0.646831604,0.7663016,0.72751683,0.551469454,0.164011068,0.14298727,0.3733347,-0.099175149,-0.457477395,-0.586910711,-0.4122283,0
12:12.4,1.607684604,0.987097571,0.917660203,1.1479406,1.271545229,0.470616099,0.590527408,0.9045033,1.016014646,0.677314463,0.762011062,0.72751683,0.557827575,0.202950758,0.134279528,0.3733347,-0.072891403,-0.458816239,-0.593305762,-0.4122283,0
12:12.5,1.643387625,1.009230113,0.913527725,1.1479406,1.296390888,0.526236723,0.5559245,0.9045033,1.01335575,0.6835981,0.730805764,0.72751683,0.557712,0.229039254,0.12181328,0.3733347,-0.045363801,-0.461141706,-0.586228363,-0.4122283,0
