,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
00:41.2,0.6249707,0.6462872,1.1503001,0.13451236,0.3659186,0.37859988,0.74836844,0.13206978,0.4307564,0.09810637,0.6605346,0.66969407,0.16575907,-0.02394728,0.071111366,0.4631695,-0.28165585,-0.35502493,-0.3366917,0.32317987,1
00:41.3,0.682329061,0.657239144,1.153650656,0.1514982,0.365087656,0.372947352,0.746543482,0.08704487,0.341057754,0.105235127,0.6605346,0.589733396,0.159958646,-0.024108272,0.081139251,0.470120285,-0.26927876,-0.298987999,-0.334343325,0.319070051,1
00:41.4,0.70756674,0.619698788,1.151217517,0.180271793,0.36472204,0.281323931,0.742735117,0.034913762,0.30159035,0.040292627,0.6605346,0.458619553,0.15740646,0.004984371,0.092927634,0.483628327,-0.26383284,-0.233179613,-0.326824495,0.312620097,1
00:41.5,0.70756674,0.602595581,1.141704838,0.189099643,0.36472204,0.251178291,0.737829263,0.032877222,0.30159035,0.041603824,0.6605346,0.415781475,0.15740646,0.007542296,0.093524369,0.487433887,-0.26383284,-0.245721554,-0.323054015,0.312329556,1
00:41.6,0.70756674,0.565037339,1.091553861,0.207300861,0.36472204,0.18640656,0.710577625,0.04257617,0.30159035,0.057308369,0.6605346,0.324052167,0.15740646,0.008525897,0.088205429,0.491103476,-0.26383284,-0.294652211,-0.314798098,0.318770794,1
00:41.7,0.70756674,0.535889495,0.969683643,0.21330936,0.36472204,0.132498335,0.643426938,0.049909603,0.30159035,0.07171832,0.650359958,0.2928549,0.15740646,0.020144511,0.0738745,0.49012846,-0.26383284,-0.333845621,-0.311116269,0.32433802,1
00:41.8,0.70756674,0.519324576,0.804221085,0.21330936,0.36472204,0.11425973,0.570333299,0.049909603,0.30159035,0.115043238,0.580964431,0.2928549,0.15740646,0.044905391,0.068943397,0.49012846,-0.26383284,-0.347851023,-0.311290188,0.32433802,1
00:41.9,0.70756674,0.503879402,0.73809562,0.21330936,0.36472204,0.122775528,0.535974446,0.049909603,0.30159035,0.214792314,0.54184085,0.2928549,0.15740646,0.077876848,0.073124962,0.49012846,-0.26383284,-0.351451026,-0.319913544,0.32433802,1
00:42.0,0.70756674,0.499887447,0.780507142,0.21330936,0.36472204,0.156686647,0.543027124,0.049909603,0.30159035,0.343172888,0.551843103,0.2928549,0.15740646,0.11233264,0.087573052,0.49012846,-0.26383284,-0.3526057,-0.336910524,0.32433802,1
00:42.1,0.70756674,0.547068388,0.7993351,0.21330936,0.36472204,0.201841739,0.54834086,0.049909603,0.30159035,0.434524112,0.55749655,0.2928549,0.15740646,0.129238579,0.09346848,0.49012846,-0.26383284,-0.358832057,-0.3425659,0.32433802,1
00:42.2,0.70756674,0.629482446,0.768323775,0.21330936,0.36472204,0.24967943,0.524392896,0.049909603,0.30159035,0.478858949,0.518472371,0.2928549,0.15740646,0.12817835,0.0842105,0.49012846,-0.26383284,-0.364653029,-0.364273052,0.32433802,1
00:42.3,0.70756674,0.731997154,0.731303629,0.21330936,0.36472204,0.318008444,0.472381313,0.049909603,0.30159035,0.5204679,0.474810472,0.2928549,0.15740646,0.12470084,0.06772951,0.49012846,-0.26383284,-0.367530975,-0.395879024,0.32433802,1
00:42.4,0.70756674,0.83051845,0.698207313,0.21330936,0.36472204,0.392134038,0.400132485,0.049909603,0.30159035,0.576418231,0.410906864,0.2928549,0.15740646,0.120945621,0.04862304,0.49012846,-0.26383284,-0.366992719,-0.426447593,0.32433802,1
00:42.5,0.70756674,0.904811668,0.672850724,0.21330936,0.36472204,0.452038622,0.329945127,0.049909603,0.30159035,0.620588051,0.332754929,0.2928549,0.15740646,0.115835001,0.030296384,0.49012846,-0.26383284,-0.364077376,-0.448602805,0.32433802,1
